,Date,Price,Open,High,Low,Volume,Chg
0,"Mar 31, 2023",82.160,82.088,82.282,82.044,0,0.10%
1,"Mar 30, 2023",82.080,82.238,82.286,82.030,0,-0.12%
2,"Mar 29, 2023",82.178,82.164,82.390,82.164,0,0.01%
3,"Mar 28, 2023",82.172,82.195,82.290,82.113,0,-0.01%
4,"Mar 27, 2023",82.180,82.374,82.441,82.200,0,-0.19%
5,"Mar 24, 2023",82.334,82.265,82.524,82.195,0,0.12%
6,"Mar 23, 2023",82.236,82.524,82.542,82.053,0,-0.33%
7,"Mar 22, 2023",82.505,82.677,82.742,82.395,0,-0.21%
8,"Mar 21, 2023",82.677,82.516,82.733,82.516,0,0.20%
9,"Mar 20, 2023",82.510,82.495,82.727,82.452,0,-0.01%
10,"Mar 17, 2023",82.520,82.615,82.701,82.419,0,-0.12%
11,"Mar 16, 2023",82.620,82.773,82.851,82.592,0,-0.31%
12,"Mar 15, 2023",82.880,82.280,82.920,82.211,0,0.77%
13,"Mar 14, 2023",82.245,82.299,82.579,82.235,6.87K,0.01%
14,"Mar 13, 2023",82.235,81.677,82.312,81.677,6.78K,0.34%
15,"Mar 10, 2023",81.960,82.037,82.210,81.843,7.18K,-0.07%
16,"Mar 09, 2023",82.020,81.967,82.088,81.763,7.09K,0.09%
17,"Mar 08, 2023",81.950,82.037,82.298,81.859,7.39K,-0.06%
18,"Mar 07, 2023",82.000,81.852,82.025,81.725,2.84K,0.23%
19,"Mar 06, 2023",81.810,81.778,81.973,81.610,7.01K,0.16%
20,"Mar 03, 2023",81.680,82.348,82.407,81.685,7.04K,-0.81%
21,"Mar 02, 2023",82.350,82.425,82.628,82.355,6.23K,-0.10%
22,"Mar 01, 2023",82.430,82.588,82.634,82.365,7.33K,-0.25%
23,"Feb 28, 2023",82.640,82.690,82.761,82.554,6.97K,-0.00%
24,"Feb 27, 2023",82.642,82.871,82.951,82.627,5.93K,-0.31%
25,"Feb 24, 2023",82.897,82.643,83.026,82.628,6.00K,0.37%
26,"Feb 23, 2023",82.590,82.799,82.835,82.562,5.68K,-0.29%
27,"Feb 22, 2023",82.830,82.844,82.937,82.776,6.09K,-0.02%
28,"Feb 21, 2023",82.844,82.691,82.892,82.680,4.79K,0.18%
29,"Feb 20, 2023",82.693,82.720,82.763,82.604,6.99K,-0.07%
30,"Feb 17, 2023",82.750,82.703,82.872,82.703,6.22K,0.05%
31,"Feb 16, 2023",82.710,82.719,82.845,82.590,6.26K,-0.05%
32,"Feb 15, 2023",82.750,82.842,82.972,82.765,6.21K,-0.19%
33,"Feb 14, 2023",82.910,82.597,83.047,82.565,7.06K,0.39%
34,"Feb 13, 2023",82.592,82.582,82.788,82.577,6.40K,0.10%
35,"Feb 10, 2023",82.510,82.535,82.644,82.330,7.77K,-0.00%
36,"Feb 09, 2023",82.511,82.656,82.679,82.402,6.84K,-0.17%
37,"Feb 08, 2023",82.650,82.734,82.761,82.472,6.58K,-0.25%
38,"Feb 07, 2023",82.860,82.755,82.906,82.618,7.69K,0.15%
39,"Feb 06, 2023",82.740,82.388,82.850,82.316,4.46K,0.65%
40,"Feb 03, 2023",82.206,82.044,82.326,81.745,4.86K,0.20%
